StoreID,name,address,latitude,longitude,hours,runtime
601,Bendigo - Whip Court,9 Whip Court<br>Long Gully VIC 3550,-36.7418086,144.2625962,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
412,Bentleigh,475 Centre Road<br>Bentleigh VIC 3204,-37.918697,145.042146,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
560,Berri,09/07/24 William Street<br>Berri SA 5343,-34.2862518,140.6004203,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 13:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8693,Berrinba,Unit T4 Berrinba Central 486 Browns Plains Road<br>Berrinba QLD 4117,-27.6754353,153.078093,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
639,Bibra Lake,28B Port Kembla Drive<br>Bibra Lake WA 6163,-32.0982565,115.8004006,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8763,Biggera Waters, Brisbane Road<br>Biggera Waters QLD 4216,-27.9338896,153.3889077,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
315,Blackburn,95-99 Railway Road<br>Blackburn VIC 3130,-37.8190513,145.1516872,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
541,Blackwood,3/378-380 Shepherds Hill Road<br>Blackwood SA 5051,-35.0214956,138.6164902,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8657,Bondi Junction,31-35 Oxford Street<br>Bondi Junction NSW 2022,-33.8909254,151.2414456,"['Monday: 10:00:00 to 18:00:00', 'Tuesday: 10:00:00 to 18:00:00', 'Wednesday: 10:00:00 to 18:00:00', 'Thursday: 10:00:00 to 18:00:00', 'Friday: 10:00:00 to 18:00:00', 'Saturday: 10:00:00 to 18:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
303,Boronia,274 Dorset Road<br>Boronia VIC 3155,-37.8590882,145.286144,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
