company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
THE STRATHAVEN GYM COMPANY LIMITED,SC849605,Active,Private limited company,,,2025-05-23,,,93130,2/3 48 West George Street Glasgow G2 1BP Scotland
TN GYM EQUIPMENT LIMITED,16471690,Active,Private limited company,,,2025-05-23,,,47640,27 Winchfield Close Southampton SO19 9JF England
NFA GYM LIMITED,SC843958,Active,Private limited company,,,2025-04-04,,,93130,Unit 3cloud 37 Rosyth Road Glasgow G5 0YE Scotland
ASSASSINS BOXING GYM LTD,SC840215,Active,Private limited company,,,2025-03-05,,,93110 93130 96040,7 Skipness Drive Glasgow G51 4RL Scotland
EPIC GYM (PORTISHEAD) LTD,16372125,Active,Private limited company,,,2025-04-08,,,93130,10 Meadow Street Avonmouth Bristol BS11 9AR United Kingdom
VQ GYM LIMITED,16374475,Active,Private limited company,,,2025-04-08,,,93130,Commercial House 11 The Strand Barnstaple EX31 1EU England
AERO GYM LTD,16355679,Active,Private limited company,,,2025-03-31,,,93130,2 Wessex Walk Dartford DA2 7WE England
THE GYM XCHANGE LTD,16338211,Active,Private limited company,,,2025-03-24,,,93130,Buff Cottage Reeds Lane Sayers Common Hassocks BN6 9JG England
CLASSY GYM LTD,16375847,Active,Private limited company,,,2025-04-09,,,93199,100 Chepstow Road London W2 5QP United Kingdom
CONCRETE CANVAS BOXING GYM CIC,16513950,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-06-12,,,85510,228 Middlewood Road Sheffield S6 1TE England
ELITE GYM BRO LTD,16253477,Dissolved,Private limited company,,2025-07-01,2025-02-14,,,85510,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
LEAP GYM LIMITED,16481755,Active,Private limited company,,,2025-05-29,,,96040,248a Stanstead Road London SE23 1DD United Kingdom
THE HUTT HYBRID GYM LTD,16505406,Active,Private limited company,,,2025-06-09,,,93130,2b Jandrem Industrial Estate Hirst Road Carlton Goole DN14 9PX England
TOP GYM SOLUTIONS LTD,16506421,Active,Private limited company,,,2025-06-09,,,33200,30 Dalby Court Peterborough PE1 4TH England
JIM'S GYM COACHING LTD,16533705,Active,Private limited company,,,2025-06-22,,,96040,33 Chase Side Drive Rugeley WS15 2FL England
RIVALS GYM PROPERTIES LTD,SC852767,Active,Private limited company,,,2025-06-18,,,68209,18 Bowhousebog Road Shotts ML7 5BU Scotland
FALCON'S GYM LTD,SC853557,Active,Private limited company,,,2025-06-25,,,93130,4 Station Road Earlston TD4 6BZ United Kingdom
GYM RAT NUTRITION LTD,16423976,Active,Private limited company,,,2025-05-01,,,86900,Unit 27 Hamilton Road Manchester M13 0PD United Kingdom
CITY GYM RICHMOND LIMITED,16446403,Active,Private limited company,,,2025-05-13,,,93130,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
THE MATHS GYM LIMITED,16425694,Active,Private limited company,,,2025-05-02,,,85200 85310 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
NXT LVL GYM LIMITED,16379210,Active,Private limited company,,,2025-04-10,,,93130,24-25  Prestatyn Business Park Warren Drive Prestatyn LL19 7HT Wales
MOVE GYM LDN LTD,16435693,Active,Private limited company,,,2025-05-07,,,93130 96040,128 Clifden Court Clifden Road Twickenham TW1 4LR England
GRIT PERFORMANCE GYM LTD,SC859536,Active,Private limited company,,,2025-08-19,,,93130,Office 32 Business Incubator Kirkcaldy Myregormie Place Mitchelston Industrial Estate Kirkcaldy KY1 3NA Scotland
FOUNDRY GYM PT LIMITED,16662196,Active,Private limited company,,,2025-08-20,,,93130,31 The Hobbins Bridgnorth WV15 5HH England
GYM DEN (LEEDS) LTD,16663352,Active,Private limited company,,,2025-08-20,,,93130,"Psb Branding Ltd,  81 New Road Side Horsforth Leeds LS18 4QD United Kingdom"
STREET GYM FOUNDATION LIMITED,16636445,Active,Private limited by guarantee without share capital,,,2025-08-07,,,88990,1st Floor The Bridge 73-81 Southwark Bridge Road London SE1 0NQ United Kingdom
SHREDBOX GYM LTD,16717719,Active,Private limited company,,,2025-09-15,,,93130,25 Buchan Drive Kingsway Quedgeley Gloucester GL2 2EA England
GYM MONKEY 84 LTD,16715719,Active,Private limited company,,,2025-09-14,,,47820 93130,33 Bohemia Road St. Leonards-On-Sea TN37 6RA England
SUNNY-SIDE GYM LTD,16698715,Active,Private limited company,,,2025-09-05,,,93130,Sunny-Side Gym Springfield Street Morecambe LA4 4HA United Kingdom
GYM TECH SOLUTIONS LIMITED,SC862030,Active,Private limited company,,,2025-09-08,,,47990,1/1 49 Dornford Avenue Glasgow G32 9NL Scotland
DEUSBOXING GYM LTD,16725458,Active,Private limited by guarantee without share capital,,,2025-09-17,,,93130,169 Links Road North Shields NE30 3TG United Kingdom
GYM BUNNY ATHLETICS LTD,16741650,Active,Private limited company,,,2025-09-25,,,47710,Ground Floor Bradfield House Popes Lane Oldbury B69 4PA England
GYM PANDA LONDON LTD,16778084,Active,Private limited company,,,2025-10-10,,,47910,49 Avon Road Southampton SO18 4FR England
THE FORGE GYM GROUP LTD,16775237,Active,Private limited company,,,2025-10-09,,,93130,5 Merlin Drive Wouldham Rochester ME1 3ZG England
THE GYM BOARDROOM LTD,16705591,Active,Private limited company,,,2025-09-09,,,70229,109 Hermitage Woods Crescent Woking GU21 8UF England
THE GYM GROWTH LTD,16188545,Active,Private limited company,,,2025-01-16,,,58290,43 Leydene Avenue Bournemouth BH8 9JQ England
RSM SYNERGY GYM LIMITED,16806564,Active,Private limited company,,,2025-10-23,,,93110 93130,Happy Shopper New Front Street Tanfield Lea Stanley DH9 9LY United Kingdom
SQUARE ONE GYM HOLDINGS LTD,16815034,Active,Private limited company,,,2025-10-28,,,68209,18 Moore Close Wimborne BH21 2GG United Kingdom
V66 GYM LIMITED,16839800,Active,Private limited company,,,2025-11-07,,,93130,First Floor 10 Village Way Pinner HA5 5AF United Kingdom
SPARK GYM FITNESS CLUB LTD,16738977,Active,Private limited company,,,2025-09-24,,,96040,Spark Gym Fitness Club Ltd Unit 3 Jessop Close Clacton On Sea CO15 4LX England
THE GYM IN TREHARRIS LTD,16838517,Active,Private limited company,,,2025-11-07,,,93130,103 Cilhaul Treharris CF46 5HT Wales
GYM DRIFT LTD,16855379,Active,Private limited company,,,2025-11-14,,,47710,620 London Road Grays RM20 3HX England
FIT AS GYM LTD,16859693,Active,Private limited company,,,2025-11-17,,,93130,"First Floor, 14 Woodford Road Bramhall Stockport SK7 1JJ England"
KORE GYM LTD,16852641,Active,Private limited company,,,2025-11-13,,,93130,Brookfield Nash Road Newport NP18 2BW Wales
LEIGHTON BUZZARD PT GYM LTD,16847991,Active,Private limited company,,,2025-11-11,,,93130,Terrace Hall Woolhope Hereford HR1 4QJ United Kingdom
THE GYM ABER LTD,16762211,Active,Private limited company,,,2025-10-03,,,93130,Tyngelli Penbontrhydybeddau Aberystwyth SY23 3EZ United Kingdom
MANEFIT LADIES GYM LTD,16629358,Active,Private limited company,,,2025-08-05,,,93130,87 Wemborough Road Stanmore HA7 2ED England
GYM COLLECTIONS LTD,16203533,Dissolved,Private limited company,,2025-10-21,2025-01-23,,,47910,10 Vale Rise Chesham HP5 2BG England
IRON FORGE GYM LTD,16788493,Active,Private limited company,,,2025-10-16,,,93130,9 Lydford Road Leicester LE4 9FB England
IRON HILLS GYM LTD,16789473,Active,Private limited company,,,2025-10-16,,,93130,Barn 5 Waterfall Farm Whitby Road Guisborough TS14 6PU England
THE OLD BYRE GYM LTD,16788615,Active,Private limited company,,,2025-10-16,,,93130,Smallmoor Farm Middlezoy Bridgwater TA7 0PJ England
CIENTO GYM LTD,16787094,Active,Private limited company,,,2025-10-15,,,93130,37 Mill Street Bideford EX39 2JJ England
BIL SHA GYM GROUP LTD,16792941,Active,Private limited company,,,2025-10-17,,,64209,104 Cromer Street London WC1H 8BZ United Kingdom
ONE GYM FITNESS LTD,16770659,Active,Private limited company,,,2025-10-08,,,93130,35 Cambridge Street Wellingborough NN8 1DW England
